accB	accC
glnG	glnA,glnL
glnG	glnH,glnP,glnQ
glnG	glnK,amtB
glnG	patA
glnG	potF,potG,potH,potI
glnG	relA
glnG	rpoE,rseA,rseB,rseC
glnG	rutA,rutB,rutC,rutE,rutF,rutG
glnG	yeaG,yeaH
glnG	yhdX,yhdY,yhdZ
glrR	rpoE,rseA,rseB,rseC
gntR	edd,eda
gntR	gntK,gntU
gntR	gntT
gntR	gntX,nfuA
hcaR	hcaE,hcaF,hcaC,hcaB,hcaD
hdfR	flhD,flhC
hdfR	gltB,gltD
hns	acrE
hns	bglG,bglF,bglB
hns	cadB,cadA
hns	caiT,caiA,caiB,caiC,caiD,caiE
hns	mukF,mukE,mukB
hns	csiD,lhgO,gabD,gabT,gabP
hns	csiE
hns	cspD
hns	cydA,cydB
hns	cysP,cysU,cysW,cysA,cysM
hns	degP
hns	dps
hns	evgS
hns	ybdZ,entF
hns	fimI,fimC,fimD,fimF,fimG,fimH
hns	fimB
hns	fimE
hns	flhD,flhC
hns	fliA
hns	ftnA
hns	gadA
hns	gadE,mdtE,mdtF
hns	galE,galT,galK,galM
hns	garP,garL,garK
hns	hchA
hns	hdeA,hdeB,yhiD
hns	hdeD
hns	hisJ,hisQ,hisM,hisP
hns	ilvI,ilvH
hns	lacA
hns	nhaA
hns	nirB,nirD,nirC,cysG
hns	nrdA,nrdB,yfaE
hns	nrdD,nrdG
hns	osmC
hns	proV,proW,proX
hns	rcsA
hns	rcsD
hns	relA,mazF
hns	slp,dctR
hns	srlA,srlE,srlB,srlD,srlR
hns	yciF,yciE
hns	ydeP
hns	yhiM
hns	yjjP
hns	bglJ
hypT	cydA,cydB
hypT	cysH
hypT	metB,metL
hypT	metN,metI,metQ
iclR	aceB,aceA
ilvY	ilvC
iscR	erpA
iscR	hyaA,hyaB,hyaC,hyaD,hyaE,hyaF
iscR	iscS,iscU,iscA
iscR	napF,napD,napA,napG,napB,napC
iscR	nfuA
iscR	nrdH,nrdI,nrdE,nrdF
iscR	sufB,sufC,sufD,sufS,sufE
iscR	ydiU
kdgR	edd,eda
kdpE	kdpF,kdpA,kdpB,kdpC
lacI	lacA
leuO	bglG,bglF,bglB
leuO	leuA,leuB,leuC,leuD
leuO	bglJ
lexA	cho
lexA	yafP
lexA	dinD
lexA	dinG
lexA	dinI
lexA	dinJ
lexA	ftsL,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC
lexA	polB
lexA	ptrA,recB,recD
lexA	recA,recX
lexA	recN
lexA	rpsU,dnaG,rpoD
lexA	ruvA,ruvB
lexA	sbmC
lexA	ssb
lexA	sulA
lexA	tisB
lexA	umuD,umuC
lexA	uvrA
lexA	uvrB
lexA	uvrD
lexA	uvrC
lexA	ybfE
lexA	ydjM
lexA	yebG
lldR	lldP,lldD
lrp	alaA
lrp	argO
lrp	avtA
lrp	cadB,cadA
lrp	csiD,lhgO,gabD,gabT,gabP
lrp	dadA,dadX
lrp	fimI,fimC,fimD,fimF,fimG,fimH
lrp	fimE
lrp	gcvT,gcvH,gcvP
lrp	gltB,gltD
lrp	hdeA,hdeB,yhiD
lrp	ilvI,ilvH
lrp	ilvL
lrp	kbl,tdh
lrp	leuE
lrp	livK,livH,livM,livG
lrp	lysP
lrp	lysU
lrp	oppB,oppC,oppD,oppF
lrp	osmC
lrp	osmY
lrp	sdaA
lrp	serA
lrp	serC
lrp	yojI
lsrR	lsrA,lsrC,lsrD,lsrB,lsrF,lsrG
lsrR	lsrK
lysR	lysA
malI	malY
malT	malE,malF,malG
malT	malK,lamB
malT	malP,malQ
malT	malS
malT	malZ
marA	acnA
marA	acrA,acrB
marA	acrZ
marA	fpr
marA	fumC
marA	hdeA,hdeB,yhiD
marA	inaA
marA	marB
marA	nfo
marA	nfsB
marA	poxB
marA	pqiA,pqiB
marA	purA
marA	slp,dctR
marA	sodA
marA	tolC,ygiB,ygiC
marA	ybjC,nfsA,rimK,ybjN
marA	yncE
marA	zwf
marR	marB
mcbR	yciF,yciE
metJ	ahpC,ahpF
metJ	folE,yeiB
metJ	metA
metJ	metB,metL
metJ	metC
metJ	metE
metJ	metF
metJ	metK
metJ	metN,metI,metQ
metR	glyA
metR	hmp
metR	metE
metR	metH
mlc	manX,manY,manZ
mlc	ynfK
mlc	ptsG
mlc	ptsH,ptsI,crr
mlrA	csgE,csgF,csgG
mlrA	ibaG
mlrA	rplU,rpmA,yhbE,obgE
mntR	dps
mntR	mntH
mntR	mntS
modE	deoC,deoA,deoB,deoD
modE	dmsA,dmsB,dmsC
modE	hycA,hycB,hycC,hycD,hycE,hycG,hycH,hycI
modE	moaA,moaB,moaC,moaD,moaE
modE	modA,modB,modC
modE	napF,napD,napA,napG,napB,napC,ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,ccmH
modE	oppB,oppC,oppD,oppF
mprA	acrA,acrB
mprA	emrA,emrB
mraZ	mioC
mraZ	rsmH,ftsL,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC
mtlR	mtlD
murR	murQ,murP
nac	mioC,mnmG
nac	codB,codA
nac	gabD,gabT,gabP
nac	gdhA
nac	gltB,gltD
nac	nupC
nac	serA
nac	ydcS,ydcT,ydcU,ydcV,patD
nadR	pnuC
nadR	nadB
nadR	pncB
nagC	chbB,chbC,chbA,chbF
nagC	chiP
nagC	creA,creC,creD
nagC	dinI
nagC	feoA,feoB,feoC
nagC	fimB
nagC	galP
nagC	glmU,glmS
nagC	manX,manY,manZ
nagC	nagB,nagA,umpH
nagC	nagE
nagC	nanC,nanM
nagC	ptsH,ptsI,crr
nagC	ydeN
nagC	ydeP
nanR	fimB
nanR	nanA,nanT,nanE,nanK,yhcH
nanR	nanC,nanM
narL	aspA,dcuA
narL	citC,citD,citE,citF,citX,citG
narL	cydD,cydC
narL	dcuB,fumB
narL	dcuS
narL	dmsA,dmsB,dmsC
narL	fdnH,fdnI
narL	focA,pflB
narL	frdA,frdB,frdC,frdD
narL	hcp,hcr
narL	hyaA,hyaB,hyaC,hyaD,hyaE,hyaF
narL	hybO,hybA,hybB,hybC,hybD,hybE,hybF
narL	moeA,moeB
narL	napF,napD,napA,napG,napB,napC,ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,ccmH
narL	narG,narH,narJ,narI
narL	narK
narL	nikA,nikB,nikC,nikD,nikE
narL	nirB,nirD,nirC,cysG
narL	norV,norW
narL	nrfA,nrfB,nrfC,nrfD,nrfF
narL	nuoA,nuoB,nuoE,nuoF,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,nuoN
narL	ogt
narL	torC,torD
narL	ubiC,ubiA
narL	ydeP
narL	ydhY,ydhX,ydhU
narL	yeaR
narL	ynfE,ynfF,ynfG,ynfH,dmsD
narL	ytfE
narP	fdnH,fdnI
narP	hcp,hcr
narP	hyaA,hyaB,hyaC,hyaD,hyaE,hyaF
narP	napF,napD,napA,napG,napB,napC,ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,ccmH
narP	nirB,nirD,nirC,cysG
narP	norV,norW
narP	nrfA,nrfB,nrfC,nrfD,nrfF
narP	ydeP
narP	ydhY,ydhX,ydhU
narP	yeaR
narP	ytfE
nemR	nemA,gloA
nhaR	nhaA
nhaR	osmC
nhaR	pgaB,pgaC,pgaD
nikR	nikA,nikB,nikC,nikD,nikE
norR	norV,norW
nrdR	nrdA,nrdB,yfaE
nrdR	nrdD,nrdG
nrdR	nrdH,nrdI,nrdE,nrdF
nsrR	aceE
nsrR	bamE
nsrR	cdd
nsrR	dkgB
nsrR	fliA
nsrR	grxD
nsrR	hcp,hcr
nsrR	hmp
nsrR	hycA,hycB,hycC,hycD,hycE,hycG,hycH,hycI
nsrR	hypA,hypB,hypC,hypD,hypE
nsrR	mhpT
nsrR	ndh
nsrR	nrfA,nrfB,nrfC,nrfD,nrfF
nsrR	pgpC
nsrR	wzzE,wecB,wecC,rffG,rffH,wecE,wzxE,wzyE
nsrR	sodB
nsrR	sufB,sufC,sufD,sufS,sufE
nsrR	tehA,tehB
nsrR	thrS,infC,rpmI,rplT,pheS,pheT,ihfA
nsrR	tsgA
nsrR	waaH
nsrR	yeaE
nsrR	yeaR
nsrR	ygbA
nsrR	ytfE
ompR	csgE,csgF,csgG
ompR	dtpA
ompR	ecnB
ompR	flhD,flhC
ompR	ompF
ompR	pgaB,pgaC,pgaD
ompR	sra
oxyR	ahpC,ahpF
oxyR	dps
oxyR	fhuF
oxyR	gntP
oxyR	grxA
oxyR	hcp,hcr
oxyR	hemH
oxyR	katG
oxyR	mntH
oxyR	sufB,sufC,sufD,sufS,sufE
oxyR	trxC
oxyR	uof
oxyR	uxuA,uxuB
oxyR	ybjC,nfsA,rimK,ybjN
oxyR	ychF
oxyR	yhjA
pdhR	cyoB,cyoC,cyoD,cyoE
pdhR	glcD,glcE,glcF,glcG,glcA
pdhR	grcA
pdhR	hemL
pdhR	rsmH,ftsL,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC
pdhR	ndh
pdhR	aceE,lpd
pdhR	tomB,hha
pepA	carA,carB
pgrR	ycjG
pgrR	ycjX,ycjF
pgrR	mpaA
phoB	adiC
phoB	amn
phoB	cusB,cusA
phoB	eda
phoB	mipA
phoB	ompF
phoB	phoA,psiF
phoB	phoR
phoB	phoE
phoB	phoH
phoB	phoQ
phoB	psiE
phoB	pstS,pstC,pstA,pstB,phoU
phoB	sbcD,sbcC
phoB	ugpB,ugpA,ugpE,ugpC,ugpQ
phoB	waaH
phoB	yhjC
phoP	acrA,acrB
phoP	dcuD
phoP	gadE
phoP	glgB,glgX,glgC,glgA,glgP
phoP	hdeA,hdeB,yhiD
phoP	hdeD
phoP	hemL
phoP	iraM
phoP	malS
phoP	metB,metL
phoP	mgrB
phoP	mgtA
phoP	nagA
phoP	pagP
phoP	phoQ
phoP	purH,purD
phoP	rstB
phoP	rutA,rutB,rutC,rutE,rutF,rutG
phoP	safA
phoP	slyB
phoP	tolC,ygiB,ygiC
phoP	ybjG
phoP	ydeP
phoP	yneM
phoP	yrbL
prpR	prpB,prpC,prpD,prpE
pspF	pspB,pspC,pspE
pspF	pspG
purR	carA,carB
purR	codB,codA
purR	cvpA,purF,ubiX
purR	gcvT,gcvH,gcvP
purR	glnB
purR	glyA
purR	guaB,guaA
